icd_code,attention_mean,attention_std
I9589,2.6115711e-05,0.000286399
V5865,2.5919593e-05,0.00022487837
7907,2.5711119e-05,0.00024811729
J80,2.5702437e-05,0.00026012983
Z9641,2.5625373e-05,0.00027059016
R319,2.5541685e-05,0.00025803427
2869,2.5524187e-05,0.00025814326
V8741,2.5494162e-05,0.00025967238
27669,2.5484358e-05,0.00021139297
2809,2.544647e-05,0.00021491841
V173,2.5260299e-05,0.00023255499
T82868A,2.5150308e-05,0.00023329884
G8194,2.4937328e-05,0.000217452
F32A,2.4928291e-05,0.00024273568
M810,2.455109e-05,0.00020424345
Z9181,2.4520974e-05,0.00021958567
2764,2.4484367e-05,0.00021839968
I081,2.4275318e-05,0.00023218246
I952,2.426905e-05,0.00022722369
I4510,2.3578457e-05,0.00023876231
E10649,2.3467648e-05,0.00024260637
Z923,2.3374809e-05,0.0002434284
R188,2.3340901e-05,0.00019595542
A4151,2.3165398e-05,0.00020044712
A4189,2.3089535e-05,0.000206865
34590,2.3088207e-05,0.00021337664
D539,2.301056e-05,0.00025021154
E11621,2.2827258e-05,0.00023059997
W19XXXA,2.279028e-05,0.00027993275
4011,2.2636694e-05,0.00021997957
56210,2.2619464e-05,0.0002237875
R1312,2.2564356e-05,0.0002280851
V4364,2.2486782e-05,0.00023190283
I25119,2.2459739e-05,0.00022219475
K7581,2.239261e-05,0.0002452732
45981,2.2236587e-05,0.00021250018
Z720,2.2132479e-05,0.00020767254
I5021,2.2108115e-05,0.00019455908
I272,2.2107233e-05,0.00020974355
7904,2.2001836e-05,0.00020603716
R451,2.1812346e-05,0.00022517768
I429,2.160947e-05,0.00023828282
D61818,2.1415392e-05,0.0001945355
E662,2.1389002e-05,0.00023641724
D6832,2.1230953e-05,0.00021857882
99812,2.1223477e-05,0.00022283696
5718,2.1097047e-05,0.00023461755
E8490,2.106912e-05,0.00023810523
K922,2.0762853e-05,0.00024981808
Z952,2.0697722e-05,0.00019221133
70722,2.0653644e-05,0.00019021887
78720,2.0626607e-05,0.0002494877
K7290,2.0518659e-05,0.00020706914
E1040,2.0490723e-05,0.00020554726
99811,2.0311729e-05,0.0001839553
G8191,2.0304697e-05,0.00020132997
04149,2.0298054e-05,0.00019822267
K3189,2.0233381e-05,0.00022395249
V1083,2.0130945e-05,0.00019255077
E8780,2.0050365e-05,0.00020807651
F1010,1.9970657e-05,0.00021142293
I248,1.9844494e-05,0.00021028663
X58XXXA,1.948845e-05,0.00020994648
K760,1.9431158e-05,0.00016897824
J810,1.9399018e-05,0.00023895559
I509,1.9364117e-05,0.0001784962
V4589,1.9327985e-05,0.00021411909
70714,1.9234216e-05,0.00024364113
42843,1.9027622e-05,0.00022340467
I69354,1.89778e-05,0.00019172973
0414,1.887733e-05,0.00018041661
T451X5A,1.875791e-05,0.00021787804
29680,1.8724295e-05,0.00021357468
T508X5A,1.8642802e-05,0.00021067825
07054,1.843259e-05,0.00021377085
29420,1.8418987e-05,0.00017893883
V1255,1.8213861e-05,0.00019636714
2639,1.8211827e-05,0.00017680021
I8510,1.8197423e-05,0.00019930833
I4820,1.810878e-05,0.000211023
49121,1.7963524e-05,0.0001813312
I2582,1.7938462e-05,0.00017417509
07070,1.7875886e-05,0.00019741632
I639,1.7824303e-05,0.00019657942
E440,1.7798277e-05,0.00021265644
V153,1.778533e-05,0.00017535579
I080,1.7475486e-05,0.00017714895
45621,1.7448743e-05,0.00018410757
Z6842,1.7366701e-05,0.00019843513
7242,1.7326558e-05,0.00020650614
3569,1.7063712e-05,0.00019044644
R112,1.6985116e-05,0.00017896533
E222,1.6820166e-05,0.00017770044
E1169,1.6814773e-05,0.0002379378
J811,1.6706423e-05,0.00017278122
7140,1.6621192e-05,0.00020530516
R918,1.642052e-05,0.00018671154
R571,1.6311173e-05,0.00020172521
Y830,1.6151149e-05,0.00017079338
34831,1.5908352e-05,0.00015499647
V433,1.5886482e-05,0.00020084353
K7031,1.5803735e-05,0.0001706009
25053,1.5782229e-05,0.00017855156
M069,1.5750757e-05,0.0002211353
R64,1.5709838e-05,0.000173323
42821,1.5372609e-05,0.00017104612
R7401,1.5138313e-05,0.00016711392
C787,1.513485e-05,0.0001532929
A0472,1.5028627e-05,0.00017465065
Z8616,1.4973032e-05,0.0001713397
25043,1.4695157e-05,0.00018020604
Z1159,1.4671797e-05,0.00019161847
49320,1.4149366e-05,0.00014925824
E1043,1.4033703e-05,0.00015104975
0413,1.38145e-05,0.00016025368
K7030,1.375997e-05,0.00017415607
R791,1.35874425e-05,0.00014078306
25042,1.3509775e-05,0.0001662405
78009,1.298732e-05,0.00015481356
B370,1.261043e-05,0.00015943527
5761,1.2428466e-05,0.00015490205
J159,1.2260043e-05,0.00014679694
F0280,1.193323e-05,0.00017103658
I9789,1.1929039e-05,0.00014226012
99859,1.1635485e-05,0.00018797898
E1143,1.1008545e-05,0.00016226922
2948,1.0509491e-05,0.000118833246
I428,1.0012028e-05,0.00012667767
Z8674,9.997927e-06,0.00013665081
